r,delta,seed,dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,2.0,302,0.005,raw,637,1.7488030423643608,2.05033760195629,0.30612244897959184,0.15384615384615385,0.13971742543171115,0.012558869701726845,0.646179325292111,0.21111740404443083,0.34433640558857354,0.2247191011235955,1.3342459252465018
0.5,2.0,302,0.005,hysteresis,569,1.95475407018916,2.116390065096768,0.3391915641476274,0.12126537785588752,0.18980667838312829,0.028119507908611598,0.6540898289417263,0.2477021465892294,0.3867835616132326,0.22429906542056074,1.1936710448222978
0.5,4.0,302,0.005,raw,852,1.3074714127906837,1.0753909945232927,0.38028169014084506,0.2934272300469484,0.08450704225352113,0.002347417840375587,0.7720938547220236,0.36684053850228593,0.4857071129863376,0.1527777777777778,1.784615182027603
0.5,4.0,302,0.005,hysteresis,773,1.4410939763229786,1.1196506232560661,0.4282018111254851,0.2858990944372574,0.13971539456662355,0.00258732212160414,0.8025202979994451,0.43403951607388785,0.56412971389245,0.2037037037037037,1.6191403001259825
0.0,0.0,303,0.00125,raw,475,2.339479119771444,2.327010602156445,0.13263157894736843,0.0,0.10736842105263159,0.021052631578947368,0.04112437668991235,0.0382728732179258,0.37260138394713854,0.058823529411764705,0.9973730107757017
0.0,0.0,303,0.00125,hysteresis,459,2.4210295901774206,2.3373861146761294,0.12636165577342048,0.0,0.10239651416122005,0.0196078431372549,0.032302798371496425,0.039259925032802255,0.3840150942660388,0.06382978723404255,0.9637772883074675
0.0,2.0,303,0.00125,raw,675,1.6471426804481868,1.9321847732119681,0.30962962962962964,0.16,0.13925925925925925,0.01037037037037037,0.6691143435025552,0.21539466712212021,0.3713931978874307,0.1702127659574468,1.416594543405575
0.0,2.0,303,0.00125,hysteresis,607,1.8316660779283787,2.073428531238743,0.342668863261944,0.12520593080724876,0.20098846787479407,0.016474464579901153,0.6871115187929666,0.2544419683772073,0.41397192683450995,0.20491803278688525,1.273885759773606
0.0,4.0,303,0.00125,raw,948,1.1728992674653598,1.0354059433065395,0.410337552742616,0.35654008438818563,0.052742616033755275,0.0010548523206751054,0.8220954913077947,0.45355871181477475,0.558120852569167,0.06,1.989372317006964
0.0,4.0,303,0.00125,hysteresis,886,1.2549757399065027,1.0518143219714782,0.4616252821670429,0.3623024830699774,0.09706546275395034,0.002257336343115124,0.8467249177263205,0.5116119588232058,0.6274720534735785,0.1511627906976744,1.8592656886795043
0.5,0.0,303,0.00125,raw,473,2.3490028977984285,2.3111210501051183,0.13742071881606766,0.0021141649048625794,0.11416490486257928,0.019027484143763214,0.03347504405360299,0.07401091553035898,0.331791910005893,0.1111111111111111,0.9933292698447579
